P,Sex,Age,Bigram_Frequency,Conc_initial,Conc_trailing,Freq_initial,Freq_trailing,Group,Initial,LR_Diversity,Letters_initial,Letters_ttrailing,POS_initial,POS_trailing,Phonemes_initial,Phonemes_trailing,Syll_initial,Syll_trailing,Trailing,W_NW,accuracy,correct,correct_response,response_time
1,1,30,437,4.25,4.97,49.68,65.17,1,acid,70,4,4,Noun,Noun,4,3,2,1,rain,w,72.22222222,1,[word_response],670
1,1,30,,,,,,0,large,0,5,4,,,,,,,wtis,nw,72.72727273,1,[nonword_response],616
1,1,30,,,,,,0,give,0,4,8,,,,,,,langugae,nw,73.21428571,1,[nonword_response],705
1,1,30,,,,,,0,larval,0,6,4,,,,,,,ofod,nw,73.68421053,1,[nonword_response],728
1,1,30,,,,,,0,reaches,0,7,6,,,,,,,timesr,nw,74.13793103,1,[nonword_response],573
1,1,30,13,3.74,4.8,1.9,115.56,2,pelvic,4,6,5,Adjective,Noun,6,4,2,1,floor,w,74.57627119,1,[word_response],633
1,1,30,0,4.1,4,3.95,2.22,3,tides,4,5,5,Noun,Adjective,,,1,1,mauve,w,73.33333333,0,[word_response],482
1,1,30,13,3.83,3.89,1.94,59.83,2,coiled,1,6,6,Verb,Noun,4,5,1,2,spring,w,73.7704918,1,[word_response],514
1,1,30,,,,,,0,fifty,0,5,6,,,,,,,afarid,nw,74.19354839,1,[nonword_response],657
1,1,30,311,2.5,2.07,158.58,299.1,1,recent,203,6,5,Adjective,Noun,6,4,2,1,times,w,74.6031746,1,[word_response],635
1,1,30,,,,,,0,tides,0,5,5,,,,,,,muave,nw,75,1,[nonword_response],564
1,1,30,,,,,,0,want,0,4,5,,,,,,,scayl,nw,75.38461538,1,[nonword_response],722
1,1,30,,,,,,0,canned,0,6,4,,,,,,,aggs,nw,74.24242424,0,[nonword_response],536
1,1,30,0,3.7,4.69,15.35,0.51,3,reaches,16,7,6,Verb,Noun,,,2,2,timers,w,74.62686567,1,[word_response],775
1,1,30,,,,,,0,ozone,0,5,7,,,,,,,acheive,nw,75,1,[nonword_response],475
1,1,30,,,,,,0,recede,0,6,5,,,,,,,scoks,nw,75.36231884,1,[nonword_response],556
1,1,30,,,,,,0,pelvic,0,6,6,,,,,,,strete,nw,75.71428571,1,[nonword_response],650
1,1,30,10,2.77,2.7,356.72,59.67,2,less,479,4,6,Adverb,Adjective,3,5,1,2,afraid,w,76.05633803,1,[word_response],436
1,1,30,187,3.62,4.7,12.78,114.41,1,eighth,21,6,4,Number,Noun,2,4,1,2,army,w,76.38888889,1,[word_response],615
1,1,30,,,,,,0,toxic,0,5,4,,,,,,,tset,nw,76.71232877,1,[nonword_response],449
1,1,30,12,3,3.21,0.78,67.12,2,darn,1,4,5,Adjective,Noun,4,3,1,1,sight,w,77.02702703,1,[word_response],675
1,1,30,,,,,,0,rapid,0,5,6,,,,,,,sprnig,nw,77.33333333,1,[nonword_response],763
1,1,30,,,,,,0,hostile,0,7,4,,,,,,,rnik,nw,77.63157895,1,[nonword_response],784
1,1,30,,,,,,0,people,0,6,6,,,,,,,numebr,nw,76.62337662,0,[nonword_response],659
1,1,30,0,2.34,2.31,962.8,81.81,3,way,263,3,5,Adverb,Verb,,4,1,2,agree,w,75.64102564,0,[word_response],524
1,1,30,0,4.18,3.82,1.04,196.94,3,fart,0,4,6,Verb,Adverb,,4,1,1,course,w,75.94936709,1,[word_response],698
1,1,30,,,,,,0,drubs,0,5,5,,,,,,,nugde,nw,76.25,1,[nonword_response],498
1,1,30,0,3.25,3.2,737.78,191.09,3,year,343,4,7,Noun,Noun,,6,1,2,hundred,w,75.30864198,0,[word_response],451
1,1,30,0,3.04,4.91,0.85,9.91,3,recede,0,6,5,Verb,Noun,,,2,1,socks,w,75.6097561,1,[word_response],1011
1,1,30,,,,,,0,glide,0,5,5,,,,,,,dorop,nw,75.90361446,1,[nonword_response],670
1,1,30,,,,,,0,meet,0,4,4,,,,,,,ogne,nw,76.19047619,1,[nonword_response],582
1,1,30,0,,3.03,0.14,4.94,3,gimlet,0,6,6,Noun,Verb,,,2,2,coding,w,76.47058824,1,[word_response],673
1,1,30,,,,,,0,good,0,4,7,,,,,,,adavnce,nw,75.58139535,0,[nonword_response],474
1,1,30,0,2.82,4.53,0.12,133.35,3,snuffles,0,8,5,Verb,Noun,,,2,2,model,w,75.86206897,1,[word_response],779
1,1,30,,,,,,0,less,0,4,5,,,,,,,fuond,nw,76.13636364,1,[nonword_response],638
1,1,30,10,2.62,2.86,16.48,220.99,2,hostile,19,7,6,Adjective,Noun,6,5,2,2,action,w,75.28089888,0,[word_response],582
1,1,30,,,,,,0,coiled,0,6,5,,,,,,,shrot,nw,74.44444444,0,[nonword_response],595
1,1,30,0,3,2.04,141.09,195.48,3,meet,112,4,4,Verb,Verb,,3,1,1,gone,w,74.72527473,1,[word_response],591
1,1,30,4525,2.18,2,4736.93,354.73,1,have,1900,4,4,Verb,Verb,3,3,1,1,done,w,73.91304348,0,[word_response],460
1,1,30,10,2.36,2.74,123.84,153.75,2,quickly,129,7,5,Adverb,Verb,6,4,2,2,added,w,73.11827957,0,[word_response],1118
1,1,30,10,3.37,4.4,337.71,50.78,2,large,468,5,5,Adjective,Noun,4,5,1,2,adult,w,73.40425532,1,[word_response],565
1,1,30,,,,,,0,oval,0,4,7,,,,,,,hispter,nw,72.63157895,0,[nonword_response],866
1,1,30,0,,4.47,0.01,1.53,3,drubs,0,5,5,Verb,Verb,,,1,1,nudge,w,72.91666667,1,[word_response],772
1,1,30,11,3.43,4.7,1.28,4.87,5,volt,1,4,5,Noun,Noun,4,4,1,2,meter,w,73.19587629,1,[word_response],782
1,1,30,,,,,,0,glabrous,0,8,4,,,,,,,eeys,nw,73.46938776,1,[nonword_response],562
1,1,30,,,,,,0,panics,0,6,5,,,,,,,gruop,nw,72.72727273,0,[nonword_response],670
1,1,30,0,1.78,4.71,17.49,38.21,6,behave ,0,7,3,Verb,Noun,,,2,1,pub,w,73,1,[word_response],726
1,1,30,21,3.46,4.85,0.56,297.06,5,beady,2,5,4,Adjective,Noun,4,2,2,1,eyes,w,73.26732673,1,[word_response],685
1,1,30,,,,,,0,loony,0,5,6,,,,,,,numebr,nw,73.52941176,1,[nonword_response],710
1,1,30,,,,,,0,hodiernal ,0,10,6,,,,,,,aronud,nw,73.78640777,1,[nonword_response],750
1,1,30,,,,,,0,beady,0,5,6,,,,,,,insdie,nw,74.03846154,1,[nonword_response],529
1,1,30,0,,3.07,,4.75,6,abaya,0,5,6,Noun,Verb,,,3,2,digest,w,74.28571429,1,[word_response],864
1,1,30,,,,,,0,sweeper,0,7,4,,,,,,,gian,nw,74.52830189,1,[nonword_response],593
1,1,30,12,3.57,5,2.89,10.21,5,gilded,2,6,4,Adjective,Noun,6,3,2,1,cage,w,73.8317757,0,[word_response],541
1,1,30,1071,1.12,3.13,2551.98,109.14,4,would,1036,5,6,Verb,Verb,3,4,1,2,appear,w,74.07407407,1,[word_response],524
1,1,30,,,,,,0,plate,0,5,4,,,,,,,cgae,nw,74.31192661,1,[nonword_response],474
1,1,30,0,,3.39,0.24,402.74,6,miaow,0,5,5,Noun,Noun,,4,2,1,point,w,73.63636364,0,[word_response],489
1,1,30,,,,,,0,cell,0,4,6,,,,,,,swtich,nw,73.87387387,1,[nonword_response],650
1,1,30,35,2,3.3,6520.5,493.85,4,with,4777,4,6,Preposition,Noun,3,5,1,2,number,w,74.10714286,1,[word_response],404
1,1,30,,,,,,0,shady,0,5,4,,,,,,,depe,nw,74.33628319,1,[nonword_response],598
1,1,30,,,,,,0,research,0,8,5,,,,,,,alnog,nw,74.56140351,1,[nonword_response],655
1,1,30,19,3.74,4.8,0.91,33.24,5,septic,2,6,4,Adjective,Noun,6,4,2,1,tank,w,74.7826087,1,[word_response],537
1,1,30,768,1.68,2.74,216.31,154.29,4,certain,300,7,6,Adjective,Noun,5,5,2,2,amount,w,75,1,[word_response],568
1,1,30,10,4.19,4.7,1.03,25.89,5,curd,1,4,6,Noun,Noun,3,3,1,1,cheese,w,75.21367521,1,[word_response],548
1,1,30,375,1.85,2.14,471.72,193.35,4,came,171,4,5,Verb,Adverb,3,4,1,2,along,w,75.42372881,1,[word_response],529
1,1,30,72,3.44,1.96,1.27,452.86,5,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,75.6302521,1,[word_response],511
1,1,30,,,,,,0,abaya,0,5,4,,,,,,,pian,nw,75.83333333,1,[nonword_response],494
1,1,30,,,,,,0,they,0,4,4,,,,,,,baet,nw,76.03305785,1,[nonword_response],429
1,1,30,,,,,,0,polyp,0,5,5,,,,,,,egiht,nw,76.2295082,1,[nonword_response],560
1,1,30,12,1.72,2.52,2.79,9.85,5,downright,2,9,4,Adverb,Adjective,6,3,2,1,rude,w,76.42276423,1,[word_response],605
1,1,30,,,,,,0,inunct,0,6,4,,,,,,,rdue,nw,76.61290323,1,[nonword_response],490
1,1,30,,,,,,0,should,0,6,4,,,,,,,baer,nw,76.8,1,[nonword_response],584
1,1,30,10,3.9,4.96,0.96,9.85,5,snare,1,5,4,Noun,Noun,4,4,1,1,drum,w,76.19047619,0,[word_response],517
1,1,30,0,,3.86,,4.68,6,glabrous,0,8,4,Adjective,Verb,,,2,1,tuck,w,76.37795276,1,[word_response],820
1,1,30,0,3.46,4.9,,7.1,6,canorous,0,8,4,Adjective,Noun,,,3,2,pony,w,76.5625,1,[word_response],469
1,1,30,600,1.48,1.66,3228.32,315.88,4,were,2752,4,6,Verb,Adverb,2,6,1,2,almost,w,76.74418605,1,[word_response],597
1,1,30,12,4.31,2.94,1.52,446.74,5,sweeper,1,7,6,Noun,Noun,5,6,2,2,system,w,76.92307692,1,[word_response],657
1,1,30,367,1.54,3.48,11153.82,486.51,4,that,5217,4,5,Determiner,Noun,3,4,1,1,place,w,77.09923664,1,[word_response],491
1,1,30,,,,,,0,blotter,0,7,5,,,,,,,sesne,nw,77.27272727,1,[nonword_response],537
1,1,30,,,,,,0,benthos,0,7,4,,,,,,,letf,nw,77.44360902,1,[nonword_response],648
1,1,30,,,,,,0,your,0,4,6,,,,,,,anwser,nw,77.6119403,1,[nonword_response],579
1,1,30,,,,,,0,fipple,0,6,6,,,,,,,ssytem,nw,77.77777778,1,[nonword_response],558
1,1,30,,,,,,0,will,0,4,6,,,,,,,appael,nw,77.20588235,0,[nonword_response],396
1,1,30,,,,,,0,cadged,0,6,4,,,,,,,takn,nw,77.37226277,1,[nonword_response],752
1,1,30,0,,3.11,,52.68,6,hodiernal ,0,10,4,Adjective,Noun,,,1,1,lies,w,77.53623188,1,[word_response],484
1,1,30,,,,,,0,little,0,6,4,,,,,,,bbay,nw,77.69784173,1,[nonword_response],676
1,1,30,,,,,,0,this,0,4,7,,,,,,,anicent,nw,77.85714286,1,[nonword_response],942
1,1,30,,,,,,0,gilded,0,6,6,,,,,,,objetc,nw,78.0141844,1,[nonword_response],862
1,1,30,,,,,,0,even,0,4,5,,,,,,,aomng,nw,78.16901408,1,[nonword_response],508
1,1,30,,,,,,0,downright,0,9,6,,,,,,,nealry,nw,78.32167832,1,[nonword_response],650
1,1,30,117,2.64,1.73,2545.66,110.02,4,will,1128,4,6,Verb,Noun,3,4,1,2,appeal,w,78.47222222,1,[word_response],739
1,1,30,0,,3.52,,391.12,6,fipple,0,6,5,Noun,Noun,,4,2,1,state,w,78.62068966,1,[word_response],488
1,1,30,,,,,,0,volt,0,4,7,,,,,,,deifned,nw,78.08219178,0,[nonword_response],664
1,1,30,,,,,,0,behave ,0,7,4,,,,,,,suop,nw,78.23129252,1,[nonword_response],704
1,1,30,,,,,,0,that,0,4,5,,,,,,,palce,nw,78.37837838,1,[nonword_response],1415
1,1,30,0,,2.6,,11.5,6,inunct,0,6,4,Verb,Noun,,,2,1,gall,w,78.52348993,1,[word_response],786
1,1,30,,,,,,0,deedy,0,5,5,,,,,,,meetr,nw,78.66666667,1,[nonword_response],583
1,1,30,34,2.15,3.7,1.51,470.89,5,loony,1,5,4,Adjective,Verb,4,4,2,1,left,w,78.80794702,1,[word_response],628
1,1,30,186,2.79,2.38,720.77,228.64,4,even,541,4,5,Adverb,Preposition,4,4,2,2,among,w,78.94736842,1,[word_response],494
1,1,30,,,,,,0,canorous,0,8,6,,,,,,,corenr,nw,79.08496732,1,[nonword_response],543
1,1,30,,,,,,0,first,0,5,6,,,,,,,anunal,nw,79.22077922,1,[nonword_response],687
1,1,30,,,,,,0,revolve,0,7,4,,,,,,,lakc,nw,79.35483871,1,[nonword_response],518
1,1,30,,,,,,0,lentil,0,6,5,,,,,,,alnoe,nw,79.48717949,1,[nonword_response],580
1,1,30,,,,,,0,septic,0,6,4,,,,,,,ekep,nw,79.61783439,1,[nonword_response],737
1,1,30,16,3.07,3.7,1.41,37.55,5,musty,2,5,5,Adjective,Verb,5,4,2,1,smell,w,79.74683544,1,[word_response],646
1,1,30,0,,4.75,,379.06,6,benthos,0,7,4,Noun,Noun,,3,2,1,head,w,79.87421384,1,[word_response],527
1,1,30,73,3.67,5,481.01,90.7,4,little,828,6,4,Adjective,Noun,5,4,2,2,baby,w,80,1,[word_response],462
1,1,30,47,2.07,3.66,182.49,63.25,4,common,269,6,6,Adjective,Noun,5,6,2,2,object,w,80.1242236,1,[word_response],528
1,1,30,,,,,,0,snare,0,5,6,,,,,,,ahppen,nw,80.24691358,1,[nonword_response],525
1,1,30,0,3.83,4.12,0.55,415.47,6,blotter,0,7,5,Noun,Noun,,4,2,1,group,w,79.75460123,0,[word_response],460
1,1,30,0,3.04,4.82,0.56,36.78,6,panics,0,6,5,Verb,Noun,,,2,1,yards,w,79.87804878,1,[word_response],459
1,1,30,,,,,,0,strict,0,6,8,,,,,,,campiagn,nw,79.39393939,0,[nonword_response],588
1,1,30,,,,,,0,with,0,4,6,,,,,,,nubmer,nw,79.51807229,1,[nonword_response],630
1,1,30,,,,,,0,certain,0,7,6,,,,,,,amuont,nw,79.64071856,1,[nonword_response],721
1,1,30,0,,4.15,0.07,5.16,6,cadged,0,6,4,Verb,Adjective,,,1,1,limp,w,79.76190476,1,[word_response],873
1,1,30,,,,,,0,shitty,0,6,4,,,,,,,durm,nw,79.8816568,1,[nonword_response],745
1,1,30,,,,,,0,would,0,5,6,,,,,,,appaer,nw,80,1,[nonword_response],590
1,1,30,10,4.04,4.12,0.88,415.47,5,polyp,1,5,5,Noun,Noun,5,4,2,1,group,w,80.11695906,1,[word_response],539
1,1,30,84,2.14,2.04,4632.4,50.83,4,this,2909,4,7,Determiner,Adjective,3,6,1,2,ancient,w,80.23255814,1,[word_response],1418
1,1,30,,,,,,0,miaow,0,5,5,,,,,,,semll,nw,80.34682081,1,[nonword_response],582
1,1,30,0,,4.11,,2.14,6,deedy,0,5,6,Adjective,Verb,,,2,1,scroll,w,80.45977011,1,[word_response],641
1,1,30,67,2.76,1.78,1187,81.54,4,first,1261,5,6,Number,Adjective,4,6,1,3,annual,w,80.57142857,1,[word_response],1227
1,1,30,,,,,,0,musty,0,5,7,,,,,,,mahcine,nw,80.68181818,1,[nonword_response],540
1,1,30,0,,3.79,,59.57,6,effable,0,7,4,Adjective,Noun,,,2,1,heat,w,80.79096045,1,[word_response],426
1,1,30,,,,,,0,effable,0,7,6,,,,,,,chesee,nw,80.33707865,0,[nonword_response],618
1,1,30,64,2.72,2.61,20.69,219.35,5,strict,38,6,5,Adjective,Noun,6,4,1,1,sense,w,80.44692737,1,[word_response],724
1,1,30,226,2.93,3.97,4334.75,56.75,4,they,1616,4,4,Pronoun,Verb,2,3,1,1,beat,w,80,0,[word_response],490
1,1,30,0,2.58,4.52,0.73,365.29,6,shitty,0,6,5,Adjective,Noun,,3,2,1,night,w,80.11049724,1,[word_response],634
1,1,30,12,2.96,4.61,2.76,75,5,shady,1,5,6,Adjective,Noun,4,5,2,2,corner,w,80.21978022,1,[word_response],788
1,1,30,125,1.53,4.88,1112.37,57.99,4,should,564,6,4,Verb,Noun,3,3,1,1,bear,w,80.32786885,1,[word_response],806
1,1,30,10,4.48,4.72,0.32,13.53,5,lentil,1,6,4,Noun,Noun,6,3,2,1,soup,w,80.43478261,1,[word_response],426
1,1,30,,,,,,0,curd,0,4,7,,,,,,,failrue,nw,80,0,[nonword_response],1035
1,1,30,256,2.37,2.89,1383.37,144.21,4,your,1871,4,6,Pronoun,Verb,3,4,1,2,answer,w,80.10752688,1,[word_response],645
1,1,30,,,,,,0,crotch,0,6,6,,,,,,,sewnig,nw,80.21390374,1,[nonword_response],700
1,1,30,,,,,,0,omophagy,0,8,4,,,,,,,sihg,nw,80.31914894,1,[nonword_response],612
1,1,30,,,,,,0,total,0,5,6,,,,,,,figrue,nw,80.42328042,1,[nonword_response],639
1,1,30,11,1.86,4.77,1.32,162,5,hallowed,1,8,6,Adjective,Noun,5,5,2,1,ground,w,80.52631579,1,[word_response],632
1,1,30,48,2.83,4.25,298.35,89.38,4,support,208,7,7,Noun,Noun,6,5,2,2,machine,w,80.62827225,1,[word_response],419
1,1,30,80,2.8,2.04,175.68,100.68,4,total,261,5,4,Adjective,Noun,5,3,2,1,lack,w,80.72916667,1,[word_response],419
1,1,30,,,,,,0,research,0,8,6,,,,,,,swtich,nw,80.82901554,1,[nonword_response],631
1,1,30,,,,,,0,sickle,0,6,5,,,,,,,sttae,nw,80.92783505,1,[nonword_response],482
1,1,30,49,2.33,3.48,0.99,236.98,5,lagging,1,7,6,Verb,Preposition,5,6,2,2,behind,w,81.02564103,1,[word_response],515
1,1,30,,,,,,0,clearly,0,7,5,,,,,,,graet,nw,81.12244898,1,[nonword_response],594
1,1,30,0,,3.28,,357.58,6,zoolatry,0,8,8,Noun,Noun,,6,3,2,business,w,80.7106599,0,[word_response],527
1,1,30,0,,4.07,,4.28,6,panurgic,0,8,4,Adjective,Noun,,,3,1,stab,w,80.80808081,1,[word_response],447
1,1,30,,,,,,0,will,0,4,5,,,,,,,pltae,nw,80.90452261,1,[nonword_response],508
1,1,30,,,,,,0,just,0,4,6,,,,,,,deisgn,nw,81,1,[nonword_response],683
1,1,30,,,,,,0,could,0,5,4,,,,,,,culb,nw,81.09452736,1,[nonword_response],707
1,1,30,,,,,,0,common,0,6,6,,,,,,,gruond,nw,81.18811881,1,[nonword_response],634
1,1,30,11,1.97,3.63,2.6,176.13,5,ghostly,1,7,6,Adjective,Verb,6,5,2,2,figure,w,81.28078818,1,[word_response],1013
1,1,30,,,,,,0,whacking,0,8,4,,,,,,,pnoy,nw,81.37254902,1,[nonword_response],560
1,1,30,0,,3.69,,7.98,6,ratite,0,6,5,Adjective,Adjective,,,2,1,crisp,w,81.46341463,1,[word_response],477
1,1,30,,,,,,0,worldly,0,7,5,,,,,,,piont,nw,81.55339806,1,[nonword_response],639
1,1,30,,,,,,0,marbled,0,7,4,,,,,,,tcuk,nw,81.15942029,0,[nonword_response],729
1,1,30,0,,3.72,,351.44,6,labarum,0,7,4,Noun,Noun,,4,3,3,area,w,81.25,1,[word_response],687
1,1,30,11,3.46,4.07,0.73,33.16,5,dimmer,2,6,6,Noun,Verb,4,4,2,1,switch,w,81.33971292,1,[word_response],663
1,1,30,19,1.86,4.26,2.49,101.42,5,worldly,1,7,5,Adjective,Noun,6,4,2,1,goods,w,81.42857143,1,[word_response],464
1,1,30,,,,,,0,dimmer,0,6,6,,,,,,,digets,nw,81.51658768,1,[nonword_response],641
1,1,30,12,3.48,1.81,0.43,452.17,5,whacking,1,8,5,Verb,Adjective,5,4,2,1,great,w,81.13207547,0,[word_response],652
1,1,30,11,4.59,3.78,1.43,164.65,5,croquet,1,7,4,Noun,Noun,5,4,2,1,club,w,81.22065728,1,[word_response],566
1,1,30,0,,3.39,,7.58,6,uniped,0,6,4,Noun,Noun,,,3,1,dash,w,81.30841122,1,[word_response],578
1,1,30,,,,,,0,uniped,0,6,4,,,,,,,dsah,nw,81.39534884,1,[nonword_response],639
1,1,30,363,2.04,2.07,153.49,58.98,4,clearly,215,7,7,Adverb,Verb,6,6,2,2,defined,w,81.48148148,1,[word_response],474
1,1,30,0,,2.67,,1.82,6,jumentous,0,9,4,adjective,Noun,,,3,1,toil,w,81.10599078,0,[word_response],730
1,1,30,239,3.04,2.86,160.08,132.65,4,living,154,6,5,Verb,Adjective,5,4,2,2,alone,w,81.19266055,1,[word_response],527
1,1,30,,,,,,0,support,0,7,4,,,,,,,frie,nw,81.27853881,1,[nonword_response],587
1,1,30,,,,,,0,runny,0,5,6,,,,,,,scorll,nw,81.36363636,1,[nonword_response],485
1,1,30,230,2.13,2.37,725.71,278.13,4,must,448,4,4,Verb,Verb,4,3,1,1,keep,w,81.4479638,1,[word_response],532
1,1,30,,,,,,0,ghostly,0,7,4,,,,,,,lmip,nw,81.53153153,1,[nonword_response],595
1,1,30,,,,,,0,logomachy,0,9,4,,,,,,,soto,nw,81.61434978,1,[nonword_response],590
1,1,30,,,,,,0,very,0,4,5,,,,,,,braed,nw,81.69642857,1,[nonword_response],633
1,1,30,0,,3.97,,73.98,6,solander,0,8,4,Noun,Verb,,,3,1,draw,w,81.77777778,1,[word_response],628
1,1,30,0,,4.61,,1.96,6,logomachy,0,9,4,Noun,Noun,,,4,1,soot,w,81.4159292,0,[word_response],573
1,1,30,,,,,,0,nacarat,0,7,5,,,,,,,salst,nw,81.49779736,1,[nonword_response],632
1,1,30,22,1.84,3.3,4135.35,493.85,4,from,3081,4,6,Preposition,Noun,4,5,1,2,number,w,81.57894737,1,[word_response],530
1,1,30,0,,4.46,,11.83,6,thurifer,0,8,4,Noun,Noun,,,3,1,bile,w,81.65938865,1,[word_response],751
1,1,30,383,1.77,4.04,1971.16,173.09,4,about,1217,5,5,Preposition,Number,4,2,2,1,eight,w,81.73913043,1,[word_response],501
